Player,Team,#,Nation,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date,Age,TeamShots,TeamxG,TeamPassAccuracy,TeamDribbles,TeamProgression,DaysSinceLastMatch,RollingAvgGoals,Position_WB,Position_CM,Position_DM,Position_RB,Position_GK,Position_RW,Position_AM,Position_FW,Position_LB,Position_CB,Position_LW,Position_LM,Position_RM
0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,8,34.69315068493151,18,1.5,69.25625,20,19,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,3,0,18,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,1,0,16,20,80.0,3,14,1,0,0,36,34.76986301369863,15,0.8,83.79375,16,30,28,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,3,0,8,0,0,0,0,1,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,1,0,0,0,50,34.80821917808219,23,3.8000000000000003,84.75625,19,19,14,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,3,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,72,34.868493150684934,11,2.9000000000000004,74.39375,11,21,22,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,30,0,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,28,41,68.3,0,33,0,0,0,15,26.2986301369863,18,1.6,85.36666666666666,15,26,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,30,0,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,29,37,78.4,0,30,0,0,0,29,26.336986301369862,5,1.0,86.64375,21,21,14,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,30,0,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,21,37,56.8,0,29,0,0,0,36,26.356164383561644,11,2.5,82.6,16,14,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,30,0,90,0,0,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.0,0,0,41,55,74.5,0,44,0,0,0,45,26.38082191780822,9,0.6000000000000001,83.50625,20,12,9,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,30,0,90,0,0,0,0,0,0,0,0,51,0,1,0,0.0,0.0,0.0,0,0,36,47,76.6,0,38,0,0,0,50,26.394520547945206,8,0.7,78.81333333333333,15,15,5,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,30,0,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,0,25,41,61.0,0,26,0,0,0,64,26.432876712328767,14,2.0,75.0,21,12,14,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,30,0,90,0,0,0,0,0,0,0,0,68,0,1,0,0.0,0.0,0.0,0,0,57,65,87.7,0,54,0,0,0,71,26.45205479452055,5,0.2,86.41875,14,15,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,30,0,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,37,45,82.2,0,30,0,0,0,78,26.471232876712328,9,0.7,84.89375,14,18,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,30,0,90,0,0,0,0,0,0,1,0,43,0,0,0,0.0,0.0,0.0,0,0,39,43,90.7,0,31,0,0,0,85,26.49041095890411,9,0.6000000000000001,79.2,16,25,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,29,0,29,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,2,0,3,7,42.9,0,4,2,2,2,8,26.745205479452054,18,1.5,69.25625,20,19,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,29,0,90,0,0,0,0,0,0,0,0,51,2,2,1,0.0,0.0,0.0,6,0,34,42,81.0,2,29,4,4,3,15,26.764383561643836,10,0.7000000000000001,75.175,11,17,7,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0,29,0,90,0,0,0,0,0,0,0,0,43,3,2,0,0.0,0.0,0.0,1,0,24,30,80.0,5,13,0,1,0,29,26.802739726027397,11,0.7,68.30625,18,12,14,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0,29,0,90,0,0,0,0,0,0,0,0,64,3,0,3,0.0,0.0,0.1,4,0,46,55,83.6,8,39,3,3,0,36,26.82191780821918,15,0.8,83.79375,16,30,7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,29,0,90,0,0,0,0,1,0,0,0,55,2,0,0,0.0,0.0,0.1,5,0,36,42,85.7,2,25,4,3,1,43,26.84109589041096,19,0.9,73.33125,17,18,7,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0,29,0,90,0,0,0,0,1,1,0,0,67,1,1,0,0.0,0.0,0.1,3,0,53,59,89.8,4,38,3,4,3,50,26.86027397260274,23,3.8000000000000003,84.75625,19,19,7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,29,0,90,0,0,0,0,1,0,0,0,65,5,4,0,0.0,0.0,0.0,4,2,42,52,80.8,5,28,4,4,4,64,26.898630136986302,11,0.8,80.99333333333334,28,15,14,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,0,29,0,90,0,0,0,0,0,0,0,0,70,0,2,0,0.0,0.0,0.0,4,1,40,55,72.7,7,29,5,6,3,72,26.92054794520548,11,2.9000000000000004,74.39375,11,21,8,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,29,0,90,0,0,0,0,0,0,0,0,45,0,4,1,0.0,0.0,0.0,1,0,29,37,78.4,5,21,4,3,2,78,26.936986301369863,4,0.1,75.85714285714286,13,17,6,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0
2,0,29,0,66,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,32,43,74.4,0,23,0,0,0,85,26.956164383561642,11,0.7,72.53999999999999,13,17,7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2,16,1,62,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.0,1,0,12,19,63.2,0,10,2,1,1,1,31.627397260273973,9,0.30000000000000004,72.45,23,12,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,16,1,56,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,7,9,77.8,0,7,1,1,0,8,31.646575342465752,10,0.9,63.63333333333333,29,10,7,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,16,1,8,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,3,0,1,1,15,31.665753424657535,18,2.0,70.83076923076922,17,11,7,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,16,1,90,0,0,0,0,1,0,0,0,53,3,2,3,0.0,0.0,0.0,1,0,32,37,86.5,4,28,0,0,0,36,31.723287671232878,17,1.1,74.94615384615385,18,15,21,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2,16,1,90,0,0,0,0,0,0,0,0,43,2,0,1,0.0,0.0,0.0,2,1,28,38,73.7,4,19,1,0,0,43,31.742465753424657,8,0.8999999999999999,66.95,14,7,7,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2,16,1,90,0,0,0,0,0,0,0,0,40,3,0,2,0.0,0.0,0.1,3,0,23,31,74.2,5,20,1,2,1,50,31.76164383561644,8,0.6000000000000001,71.93846153846154,19,10,7,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0
3,2,16,1,90,0,0,0,0,0,0,0,0,59,0,1,2,0.0,0.0,0.2,3,0,45,51,88.2,5,33,1,0,0,64,31.8,11,1.7,75.65833333333333,18,21,14,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0
3,2,16,1,79,0,0,0,0,1,1,0,0,42,3,1,1,0.1,0.1,0.0,2,0,33,37,89.2,2,16,1,0,0,71,31.81917808219178,10,0.8,68.53999999999999,19,8,7,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2,16,1,85,0,0,0,0,1,0,0,0,39,0,0,1,0.2,0.2,0.1,6,0,32,35,91.4,4,20,1,1,1,85,31.85753424657534,18,1.2000000000000002,67.16153846153847,20,14,14,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,3,7,2,90,0,1,0,0,0,0,0,0,49,6,0,1,0.0,0.0,0.5,3,1,18,25,72.0,2,27,5,8,3,3,20.44931506849315,7,1.1,73.39999999999999,22,12,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,3,7,2,90,0,0,0,0,3,1,0,0,44,5,2,2,0.1,0.1,0.0,2,0,12,24,50.0,2,27,3,6,1,8,20.463013698630135,10,0.6,79.35333333333332,21,8,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,3,7,2,67,0,0,0,0,2,1,0,0,32,3,1,0,0.0,0.0,0.0,0,0,14,18,77.8,4,24,1,6,1,15,20.482191780821918,9,0.30000000000000004,80.7375,22,13,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,3,7,2,19,0,0,0,0,1,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,3,0,2,1,29,20.52054794520548,9,1.1,62.69285714285714,19,9,14,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,3,7,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,36,20.53972602739726,12,0.7,76.64999999999999,24,22,7,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,59.8,0,0,0,0,0,43,20.55890410958904,5,0.30000000000000004,70.2375,24,4,7,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0
4,3,7,2,9,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,5,3,4,1,50,20.578082191780823,6,0.8,69.42666666666668,14,19,7,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3,7,2,32,0,1,0,0,2,1,0,0,27,1,0,0,0.2,0.2,0.9,2,2,12,18,66.7,2,18,5,5,2,64,20.616438356164384,17,3.0,79.55333333333333,30,19,14,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,3,7,2,90,0,0,0,0,1,0,0,0,66,1,0,1,0.0,0.0,0.0,2,0,29,45,64.4,4,45,12,10,3,70,20.632876712328766,11,0.6,81.91428571428571,14,35,6,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,3,7,2,90,0,0,0,0,2,1,0,0,50,3,1,1,0.1,0.1,0.1,3,0,18,31,58.1,0,35,5,12,5,78,20.654794520547945,20,1.4000000000000001,77.28666666666666,21,25,8,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,3,7,2,90,0,0,0,0,1,1,0,0,40,1,0,2,0.0,0.0,0.0,4,0,16,26,61.5,3,31,7,16,12,86,20.676712328767124,6,0.5,78.12857142857142,22,12,8,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0
5,1,9,0,90,0,0,0,0,5,1,0,0,33,2,0,0,0.7,0.7,0.1,2,0,20,25,80.0,2,26,4,0,0,1,27.517808219178082,19,1.9,83.7625,13,31,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,9,0,70,0,0,0,0,1,0,1,0,37,1,0,0,0.0,0.0,0.0,0,0,22,25,88.0,3,21,1,4,0,8,27.536986301369865,5,0.1,83.8,18,29,7,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,9,0,45,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,2,0,7,8,87.5,0,5,0,0,0,15,27.556164383561644,18,1.6,85.36666666666666,15,26,7,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,9,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,36,27.613698630136987,11,2.5,82.6,16,14,21,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1,9,0,17,0,0,0,0,0,0,0,0,10,0,2,1,0.0,0.0,0.0,1,0,5,6,83.3,0,5,1,0,0,50,27.65205479452055,8,0.7,78.81333333333333,15,15,14,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1,9,0,45,0,0,0,0,2,1,1,0,7,0,0,0,0.1,0.1,0.0,1,0,4,4,100.0,2,6,3,0,0,71,27.70958904109589,5,0.2,86.41875,14,15,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,9,0,90,1,0,0,0,3,1,0,0,41,0,0,0,0.3,0.3,0.0,1,0,22,31,71.0,1,35,0,2,1,78,27.72876712328767,9,0.7,84.89375,14,18,7,0.2,0,0,0,0,0,0,0,0,0,0,1,0,1
5,1,9,0,90,0,0,0,0,1,0,0,0,39,3,0,0,0.1,0.1,0.0,0,0,25,30,83.3,1,23,1,1,0,85,27.747945205479454,9,0.6000000000000001,79.2,16,25,7,0.2,0,0,0,0,0,0,0,0,0,0,1,0,1
6,1,10,0,9,0,1,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.1,2,1,9,10,90.0,2,4,1,0,0,15,36.30958904109589,18,1.6,85.36666666666666,15,26,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
